Img_name,Size,Noise,Focus,Contrast,Sobel_time,Sobel_edges,Prewitt_2K_time,Prewitt_2K_edges,Prewitt_4K_time,Prewitt_4K_edges,Roberts_time,Roberts_edges,Laplacian Of Gaussian_time,Laplacian Of Gaussian_edges,Canny_time,Canny_edges,Hough-lines_time,Hough-lines_edges,Contours_time,Contours_edges
I01_01_1.bmp,196608,3.5895829547982054,32.29373309906888,0.3199857137596758,0.1693,6.377183430022317,0.4182,20.677066044996383,0.7969,20.44570915336153,0.3702,20.677066044996383,0.134,7.99151657814038,0.9179,91.01607472066632,10.809199999999999,2.254595801001048E25,4.4289,1.5926203111735468E16
i01_01_2.bmp,196608,4.113881532341969,33.613563911426255,0.3212515662769728,0.1292,6.415755822009975,0.3763,20.670766987047255,0.7939,20.423925670541273,0.2711,20.670766987047255,0.1032,8.07892330424281,0.6917,91.18497971727479,10.151900000000001,NaN,2.8253,3.092369439105807E36
i01_01_3.bmp,196608,4.9964637781411065,36.22806880756122,0.32404597038487615,0.1403,6.557079547835705,0.386,20.70414858254974,0.7919,20.435694436778064,0.2755,20.70414858254974,0.1072,8.281787544867761,0.7722,92.2359128328519,10.1076,2.7584921373749748E16,2.7531,5.337225538903913E18
i01_01_4.bmp,196608,6.338980532374873,40.87783599894659,0.3288609022673631,0.1241,6.771368578406706,0.3769,20.814786750768373,0.8027,20.520730320512875,0.2731,20.814786750768373,0.1087,8.686167688282127,0.8444,93.41920311226019,9.9413,3.185228222972286E16,3.2366,2.7584921374710948E16
i01_01_5.bmp,196608,8.330092606441504,48.97025114475087,0.33847394149799254,0.1586,7.265720025274552,0.3952,21.05727264883027,0.7981,20.64279213064845,0.3534,21.05727264883027,0.1369,9.48006815123431,0.79,96.11621944239805,11.5151,9.149283585620463E28,2.997,5.456397251449488E21
i01_02_1.bmp,196608,3.217124823880449,31.597913867175176,0.3192513878320969,0.1165,6.346640870059936,0.3746,20.66603664367672,0.7697,20.45015693687293,0.2716,20.66603664367672,0.1064,7.9254142923182975,0.6246,90.92564495306131,9.459,2.7584921373749748E16,2.4853,3.994259017170139E28
i01_02_2.bmp,196608,3.493429275743764,32.10119371440765,0.31978249826244365,0.1299,6.362606952040068,0.3764,20.65748112694694,0.7897,20.4360121824353,0.2779,20.65748112694694,0.1073,7.95946953010564,0.7519,91.15581630844163,10.0887,2.2545958010010404E25,2.8773,2.7584921373742748E16
i01_02_3.bmp,196608,3.960947443362283,33.16241584586784,0.32072352870120485,0.1283,6.4081707125787135,0.3923,20.681189130454698,0.7994,20.4407218172406,0.2787,20.681189130454698,0.1068,8.044434670546478,0.6189,91.48689967832114,10.4536,1.5926203111735468E16,3.0145,2.2522995158276348E16
i01_02_4.bmp,196608,4.701692853476414,35.26832807766252,0.3223422199886147,0.1969,6.50809909583802,0.4029,20.67995676716488,0.8465,20.417989066336265,0.3162,20.67995676716488,0.1358,8.205429835923166,0.641,91.97146539259288,10.5561,2.254595801001048E25,4.9269,2.3060982482880013E28
i01_02_5.bmp,196608,5.905172282010914,39.22292115236792,0.325351211194898,0.141,6.7051158378544224,0.4206,20.68093203059241,0.8148,20.38609184627636,0.3003,20.68093203059241,0.1102,8.536949572036557,0.8686,92.9419393959116,11.362900000000002,2.2545958010010404E25,4.4539,3.1852163206734E16
i01_03_1.bmp,196608,2.9007405241515896,31.3516651482275,0.3199736215142701,0.1321,6.438969658699423,0.3807,20.714558905742305,0.8242,20.451773581095992,0.276,20.714558905742305,0.1054,7.986157787518702,0.5961,91.94406094080206,9.918,2.254595801001048E25,2.7983,75.26575035825125
i01_03_2.bmp,196608,2.95364279251482,31.520398097418752,0.3213044484657867,0.1231,6.574903459231705,0.3923,20.835688836787742,0.8989,20.539554768385255,0.2751,20.835688836787742,0.1059,8.089398586223291,0.6288,92.88099654313478,10.1148,2.2545958010010563E25,2.8513,1.5926203111735468E16
i01_03_3.bmp,196608,3.046434057430892,31.940220632990265,0.3243532944513347,0.1262,6.872866092017111,0.383,21.099446847806917,0.804,20.71583873532883,0.2732,21.099446847806917,0.1063,8.30144085324083,0.5895,95.5631687266706,10.9157,2.2545958010010563E25,2.6017,2.4737714873787154E36
i01_03_4.bmp,196608,3.1989478446432815,32.7789876398754,0.32897037427005893,0.1184,7.44575630837625,0.365,21.6973842378861,0.7673,21.149810372312412,0.2728,21.6973842378861,0.1045,8.703614108154104,0.6518,100.22330050478912,11.7981,2.254595801001048E25,3.0601,2.2522995158276348E16
i01_03_5.bmp,196608,3.4694141762950492,34.60660377942676,0.33895378361745027,0.1328,8.534814479258069,0.3735,23.02772128285775,0.8053,22.27282887336017,0.2787,23.02772128285775,0.1062,9.565331852865427,0.7963,110.4242289053939,17.006899999999998,2.254595801001048E25,3.0048,7.079722365016069E35
i01_04_1.bmp,196608,3.9084933539243845,33.77063948409766,0.3200774046432303,0.1184,6.345017956294158,0.4328,20.679141853568005,0.8334,20.459326254899775,0.3056,20.679141853568005,0.1109,8.007273769496939,0.5378,90.60576692457154,9.0584,2.2545958010010404E25,2.3866,3.26130712488699E28
i01_04_2.bmp,196608,4.6938154119347715,36.30467580444713,0.32149468872512516,0.1264,6.359240767456766,0.3835,20.673567761710434,0.779,20.4516585084456,0.2797,20.673567761710434,0.1053,8.12658530558441,0.6357,91.05295820091351,10.7678,2.2545958010010404E25,2.721,3.1852163206734E16
i01_04_3.bmp,196608,5.92185032790451,40.8398414052804,0.32431901076483177,0.1367,6.391831936532497,0.3876,20.665644325589984,0.7935,20.435825876685215,0.2796,20.665644325589984,0.107,8.35843335644503,0.6275,91.04532963682686,9.9968,2.254595801001048E25,2.7081,74.76307288345622
i01_04_4.bmp,196608,7.5000866806962625,47.42231341589542,0.32908462237719904,0.118,6.445435261069048,0.3744,20.623480207779455,0.7706,20.377936049729822,0.2731,20.623480207779455,0.1046,8.736800447383727,0.5668,91.34945820639199,9.491000000000001,2.2545958010010563E25,2.7151,1.5926203111735468E16
i01_04_5.bmp,196608,9.8468684033533,58.20033333336665,0.33926329520418136,0.1274,6.554808597072191,0.3688,20.480620266469497,0.7664,20.200052663387762,0.27,20.480620266469497,0.1044,9.523033643666405,0.4984,91.53848792732617,9.4735,2.2545958010010404E25,2.9761,5.717863282139948E27
i01_05_1.bmp,196608,3.943712926506374,32.823178805961305,0.3200065499056743,0.1207,6.348992396188129,0.365,20.66273920031943,0.7772,20.44497115761387,0.2693,20.66273920031943,0.1044,7.977579440869268,0.6805,90.81969874953984,9.6388,2.254595801001048E25,2.6271,1.5926203111735468E16
i01_05_2.bmp,196608,4.688434048235642,34.62965616301835,0.321354535884377,0.1188,6.371716749579618,0.3629,20.65598610436472,0.7698,20.433284432568012,0.2705,20.65598610436472,0.1037,8.069461737236127,0.521,91.01352990843661,9.190700000000001,2.2545958010010404E25,2.7044,2.3989789895993563E34
i01_05_3.bmp,196608,6.967639395419209,41.890830821690415,0.3269464528678772,0.1196,6.48628672359807,0.3716,20.646742300671207,0.7771,20.405800009362007,0.2683,20.646742300671207,0.103,8.480820204464319,0.5168,91.52591095754546,8.9622,2.254595801001048E25,2.8612,1.5926203111735468E16
i01_05_4.bmp,196608,11.08105881025683,58.63777635648503,0.34268892452725586,0.1133,6.8661667610710255,0.3806,20.639764590146857,0.8725,20.340351579901768,0.3467,20.639764590146857,0.1359,9.724463830022673,0.4802,93.07814263093493,9.8438,2.254595801001048E25,3.1394,2.3060982482880013E28
i01_05_5.bmp,196608,16.160408884624516,83.8217431323524,0.383639580222073,0.1178,7.978540585001355,0.3779,20.507973807288355,0.78,20.03045700807439,0.2744,20.507973807288355,0.1062,12.887428243602608,0.5768,98.25473630743575,10.9882,2.254595801001048E25,4.0694,80.88517471825502
i01_06_1.bmp,196608,3.1385970140927926,32.21536049837192,0.31883690681541443,0.1128,6.362366274734186,0.3857,20.631789128746313,0.7759,20.408417141208027,0.2721,20.631789128746313,0.1063,7.96477059050531,0.5005,90.94476509391852,9.3694,2.254595801001048E25,2.5949,1.5926203111735468E16
i01_06_2.bmp,196608,3.4801404489481857,33.512275888753535,0.31895708628272046,0.1218,6.411813633538721,0.3745,20.558284373615297,0.7826,20.315244636049165,0.2725,20.558284373615297,0.1042,8.049086454041378,0.5612,91.04278649226946,9.085199999999999,2.2545958010010563E25,2.672,1.5926203111735468E16
i01_06_3.bmp,196608,4.072044351321837,35.64458552944138,0.31919531443978805,0.1243,6.483836849938245,0.3824,20.46944566439082,0.7942,20.17912816496667,0.2748,20.46944566439082,0.107,8.201199929893525,0.5347,91.4793451454115,9.5916,2.254595801001048E25,2.5359,1.875370724717666E36
i01_06_4.bmp,196608,5.10632980235358,39.172852818825824,0.3194988613795497,0.1371,6.630195800176823,0.4188,20.252259096678166,0.8885,19.935136941628077,0.2963,20.252259096678166,0.1089,8.471901019274394,0.5106,92.38790090866638,9.6988,NaN,2.5919,1.5926203111735468E16
i01_06_5.bmp,196608,6.939152156502658,45.874233997762175,0.3204189198888817,0.1204,6.988545745531225,0.3854,19.89319709531054,0.777,19.46642231099265,0.2754,19.89319709531054,0.1059,9.097724814721005,0.5365,94.32045375618677,9.832,2.254595801001048E25,2.9297,1.5926203111735468E16
i01_07_1.bmp,196608,3.326712076512573,32.372199495824006,0.32388826566301027,0.1191,6.403963795945027,0.3686,20.775963525830925,0.7911,20.53777081111752,0.2958,20.775963525830925,0.1032,8.004567359354274,0.5069,91.22678954638167,9.219899999999999,2.2545958010010404E25,2.5528,75.08986472903207
i01_07_2.bmp,196608,3.8542679927528805,34.420322062543484,0.3172237606657826,0.1232,6.516412094915756,0.3717,20.730377432193546,0.7853,20.50044861340776,0.2693,20.730377432193546,0.1039,8.157161897346374,0.5403,91.578710279536,9.3948,2.2545958010010404E25,2.4154,2.3060982482880013E28
i01_07_3.bmp,196608,3.720897235523408,35.10269790203918,0.31805562287236466,0.113,6.505301894733156,0.372,20.87302717708185,0.7703,20.6434687411296,0.27,20.87302717708185,0.1034,8.2169904460114,0.5079,91.91913302653803,9.651399999999999,2.2545958010010404E25,2.3851,3.702859605824641E29
i01_07_4.bmp,196608,4.459591530125199,39.479124899200535,0.325915134687869,0.1201,6.923626308908591,0.3813,21.17975864953321,0.7775,20.914313093108962,0.2698,21.17975864953321,0.1075,8.70201150590575,0.539,95.82467683490879,10.6105,2.254595801001048E25,2.4208,1.5926203111735468E16
i01_07_5.bmp,196608,4.577987964696365,45.14276720850972,0.3369953237198172,0.1221,7.298338076597439,0.3813,22.194180226377497,0.7819,22.03892401968923,0.2739,22.194180226377497,0.1057,9.376843669039493,0.5408,96.09699755213818,10.3509,2.2545958010010563E25,2.4847,1.5926203111735468E16
i01_08_1.bmp,196608,1.43692382211748,20.58951947425609,0.30338120661643614,0.1197,5.3381467781617,0.377,19.103201936744167,0.78,18.825646875321585,0.2747,19.103201936744167,0.1059,6.507423138855126,0.4993,85.85567541836065,8.364,2.2545958010010563E25,2.0138,6.703268362972139E35
